Designator,Comment,Footprint,LCSC Part #
U21,74LVC125,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,C6059
U16,AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C5346136
"R3,R4",10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C5159708
R5,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C5123594
U1, CY62128ELL-45SXI,Package_SO:SSOP-32_11.305x20.495mm_P1.27mm,C2840304
"U2,U4,U14",74HC00,Package_SO:SO-14_3.9x8.65mm_P1.27mm,C699445
"C20,C21",22pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C525286
R2,0,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C431818
R6,180,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C25270
"R1,R7",560,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C429158
"R8,R9,R10,R11",3.3k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C407459
J1,Micro_SD_Card_Det1,components:CONN9_MSD-1_CUD,C381082
U5,74HC163,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C338758
C23,100nF,Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C309030
"U8,U11",74HC273,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,C131486
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C22",0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C126469
"U3,U18",74HC74,Package_SO:SO-14_3.9x8.65mm_P1.27mm,C27597
U20,74HC85,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5953
U13,74HC595,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5947
"U9,U10",74HC32,Package_SO:SO-14_3.9x8.65mm_P1.27mm,C5632
U12,74HC165,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5613
"U6,U17",74HC138,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5602
U7,74HC123,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C5597
U19,74HC02,Package_SO:SO-14_3.9x8.65mm_P1.27mm,C5588
